trimestre_origem,quartil,periodo,peso_ocupados_origem,n_ocupados_origem,pct_mesmo_grupo,pct_outro_grupo,pct_desocupado,pct_fora_da_forca,pct_informalizou
2019T1,Q1,pre,17890980.3842609,46678,69.36146903009302,19.058096926167714,4.937976216328418,6.642457827410856,7.688280059793986
2019T2,Q1,pre,18378038.761239998,47519,69.34654698273468,18.239938742650686,5.618143560598364,6.795370714016265,8.219776200193255
2019T3,Q1,pre,18564982.0977537,47398,69.55553923077605,18.725770988458425,4.895003058161749,6.823686722603784,7.4004106504035025
2019T4,Q1,pre,18609815.76981057,47092,68.47183960898697,18.227648362475623,5.717146949518517,7.583365079018893,7.248647266290953
2020T1,Q1,atipico,17658007.55915743,40147,74.35020358179455,8.714698871292198,5.694463286746376,11.240634260166885,2.782163283078607
2020T2,Q1,atipico,14922817.694944,25275,79.63210052841403,8.999282157151727,4.026917760166471,7.34169955426779,2.6879537508542253
2020T3,Q1,atipico,15422456.27113745,25684,83.69626877847004,9.034866403645518,3.1022141497557363,4.166650668128684,2.30878907948465
2020T4,Q1,atipico,15746718.63247525,23899,82.25211329955579,9.559531418263955,3.9417926564807737,4.246562625699476,2.8363353671439966
2021T1,Q1,atipico,15940588.253993921,22998,83.37690474961664,9.075741020631083,3.326827062099298,4.220527167652979,2.09716629374814
2021T2,Q1,atipico,16786283.20368569,28289,84.35566339629385,9.653215584656314,2.6693886788824317,3.321732340167412,2.0738542757872387
2021T3,Q1,atipico,17880860.796231702,36211,83.59697158686792,9.599746553083031,2.9110015458233183,3.8922803142257005,2.910536421762243
2021T4,Q1,pre,18594056.285593733,39664,64.63364390020406,20.768535453363462,5.465937595981208,9.13188305045127,9.476814891133046
2022T1,Q1,pre,18214275.574428536,39641,66.87396584311641,21.160902812596845,3.8759949696015097,8.089136374685232,9.464030607028755
2022T2,Q1,pre,18995220.739842728,41786,67.63042427625237,20.188595113794268,4.06778141660948,8.11319919334388,9.022037068834292
2022T3,Q1,excluido,18671380.17129133,42210,68.6805634301064,19.652593537893996,3.541600821785442,8.125242210214143,8.210917804431364
2022T4,Q1,excluido,18396651.430730566,40592,68.4439064249882,19.239997812411026,3.9368567822240146,8.379238980376758,8.961563726721927
2023T1,Q1,pos,18156861.33172647,39100,69.52182499273403,18.800390659075322,3.664801014464077,8.012983333726597,9.396232034018722
2023T2,Q1,pos,18449899.0737705,39360,69.2951901337359,19.191233008808034,3.4582692005251423,8.055307656930902,8.930015642284438
2023T3,Q1,pos,18647756.61640558,40914,68.90412880510911,19.544914550353962,3.5522523605122394,7.998704284024685,8.72159662401609
2023T4,Q1,pos,19162715.47764384,41166,67.33504170836007,19.854044478644095,3.979693873994552,8.8312199390013,9.345006802503613
2024T1,Q1,pos,18768626.561817028,40904,68.81295312025867,20.001212247116193,3.3436523087525805,7.84218232387256,8.772681763294305
2024T2,Q1,pos,19270283.74863492,41272,68.97858663658947,20.305541633836704,3.0737596000182283,7.642112129555588,8.523513196489445
2024T3,Q1,pos,18808980.33740466,41463,68.659653952387,20.745382390248196,2.7401065471354453,7.854857110229352,8.688129475589408
2024T4,Q1,pos,19028070.869677477,41293,67.12963797012077,20.55683567113791,3.648134496772216,8.665391861969104,9.686343138603792
2025T1,Q1,pos,18217627.63683581,40209,68.84597058738925,20.723520288493077,2.665681114582259,7.76482800953541,9.14046521897089
2025T2,Q1,pos,18521566.2094514,41175,68.73337824319121,20.34058806105934,2.682779633556073,8.243254062193385,9.309427774597529
2025T3,Q1,pos,18804059.74066007,43220,68.41450720100148,20.377427918457226,2.758336024692175,8.449728855849102,8.687412142787409
2019T1,Q2,pre,17822150.67093125,49627,71.51664736017453,19.543399533636332,3.2287622842257897,5.711190821963359,8.142685777862255
2019T2,Q2,pre,17942950.52757299,49956,72.12986380066864,18.929873054614863,3.1587197625448744,5.781543382171614,8.415998223845127
2019T3,Q2,pre,18143596.75185342,49236,72.01966323916298,19.21487436788198,2.7458857752474013,6.019576617707653,7.591007081662789
2019T4,Q2,pre,18410578.999505248,48929,71.11675727123205,19.082407505043445,3.4558915882575345,6.344943635466982,7.3794824115637
2020T1,Q2,atipico,17948238.47838698,43483,79.21518343013851,8.759195902048514,3.2767464082997604,8.748874259513228,2.8317421704982944
2020T2,Q2,atipico,16220308.69035042,28912,82.77700532325602,8.614301394792287,2.5735209310161458,6.035172350935532,2.058349858570049
2020T3,Q2,atipico,15990271.50295325,28369,86.58580539457296,8.865855597488965,1.6090341430569244,2.9393048648811604,1.5190160852761532
2020T4,Q2,atipico,16702411.1109557,26293,85.02307032999622,9.268955351190154,2.5136836789800614,3.1942906398335857,1.7209782061046361
2021T1,Q2,atipico,17010945.688354872,25344,86.20752489175858,8.427241232482125,2.727847537167269,2.637386338592006,1.8689700596431922
2021T2,Q2,atipico,17593164.27420663,30738,86.80681958153062,9.102015885062356,1.6131784108217975,2.4779861225852255,2.698461196851977
2021T3,Q2,atipico,18320978.33854296,39261,85.15073126791378,10.144726701544984,1.7638846943562358,2.9406573361849926,2.6565722441167887
2021T4,Q2,pre,18770118.45189875,41793,67.41910263102876,21.32710461451927,3.6763340721620006,7.577458682289964,10.512005144834365
2022T1,Q2,pre,18851371.05162286,43245,68.55941831854553,22.1157025676617,2.6661228957739307,6.658756218018853,9.94427926383254
2022T2,Q2,pre,19618819.45280731,45117,69.23238663815661,21.157109321779323,2.713003999022257,6.8975000410418,9.2200748705188
2022T3,Q2,excluido,19232817.4653297,44775,71.0466850739502,20.226736437648768,2.19048554281801,6.536092945583006,9.078006903802931
2022T4,Q2,excluido,19100180.521164827,43369,71.2195484880255,19.35881502806148,2.9150506113030166,6.506585872610025,9.417366190319632
2023T1,Q2,pos,19222513.41030301,42508,71.61457818348792,19.766646882750045,2.2472285842601907,6.37154634950182,9.364530950865845
2023T2,Q2,pos,19400226.22512035,42896,72.4208892756484,19.106458174107033,2.369922610294888,6.1027299399496675,9.020103423722185
2023T3,Q2,pos,19658067.59748996,44280,70.4713485870691,20.448569433955544,2.366989536852649,6.713092442122714,9.157297523981814
2023T4,Q2,pos,19744754.643267162,43482,69.909504866279,20.621072799018723,2.792568049432477,6.6768542852697985,9.657481013397645
2024T1,Q2,pos,19602056.957990453,44460,69.8022000670612,21.522570716997123,2.0825698601707345,6.5926593557709365,9.072479652120885
2024T2,Q2,pos,19762860.84897928,44359,71.33789994482083,20.475279754715668,2.1795329756818442,6.007287324781649,9.898991459512077
2024T3,Q2,pos,19413538.32143579,45065,70.63879084621504,21.41845885336613,2.014178915805497,5.928571384613328,9.93985305750812
2024T4,Q2,pos,19671459.05162871,43892,70.19717456338641,21.161421416797257,2.350823454798528,6.290580565017817,9.819214671681424
2025T1,Q2,pos,19441867.52024487,43830,70.99860208632286,21.064463527922506,1.819806293965956,6.117128091788679,9.984769251619513
2025T2,Q2,pos,19646831.17950773,44867,70.69238648848294,21.31088883036964,1.719321265040286,6.277403416107124,9.895581210976728
2025T3,Q2,pos,19840138.276043817,46123,70.9236735082233,21.48364729494672,1.5828200884022037,6.009859108427786,8.838186356411615
2019T1,Q3,pre,17296312.03733369,39648,74.88732767225926,17.68219831808505,2.996031225190766,4.434442784464928,8.163392059243192
2019T2,Q3,pre,17653051.34695376,40215,74.16255600120665,18.13335521628178,2.977420132177212,4.726668650334349,7.9807387715958855
2019T3,Q3,pre,17770460.234408207,40282,75.01510478651745,17.909220566660967,2.763129571970811,4.31254507485076,7.74459932483736
2019T4,Q3,pre,18194164.129915852,40610,73.50336155298142,17.710786685280144,3.252638118428052,5.5332136433103996,7.8325694561309085
2020T1,Q3,atipico,17701587.25510683,35315,77.94692635762406,9.801222966030855,3.669687434335722,8.582163242009358,2.212900672044467
2020T2,Q3,atipico,15089018.6169267,23386,80.75935796813248,9.217132409241897,2.6320528478904754,7.391456774735167,1.8240696416638795
2020T3,Q3,atipico,14931753.67441471,22022,86.02845095022936,9.566058579896103,1.824640801373443,2.5808496685010973,1.6910392822261406
2020T4,Q3,atipico,15640518.92140646,20603,84.61355235777206,9.40908529596645,2.5304817497019765,3.446880596559508,1.6685678436243865
2021T1,Q3,atipico,15665117.56706687,19396,85.99709175099477,9.101597753242194,2.3591731501366042,2.542137345626432,1.8273284178175075
2021T2,Q3,atipico,15870697.585675899,22652,85.78412665787145,10.27701863044493,1.7412441300851316,2.197610581598483,1.5025975668193914
