cod,peso,n,aioe,pct_mesmo_grupo,pct_outro_grupo,pct_desocupado,pct_fora_da_forca,pct_informalizou,periodo,nome,grande_grupo,nome_grande_grupo
1211,859111.10126123,1384,1.446232,54.69246773883067,43.48215467267618,0.5179696812946849,1.3074079071984723,8.244051377199183,pos,Dirigentes financeiros,1,Diretores e gerentes
2120,107504.7478183,140,1.4396134,75.12995658925765,20.629330006554174,0.557786748671913,3.6829266555162437,6.666523446988257,pos,"Matemáticos, atuários e estatísticos",2,Profissionais das ciências e intelectuais
2619,1365759.48415379,2953,1.431593,74.17884738444268,23.556731764860263,0.48677774617542585,1.7776431045216332,7.767477394116811,pos,Profissionais em direito não classificados anteriormente,2,Profissionais das ciências e intelectuais
2411,4642770.39966591,8512,1.426218,76.61277185808737,20.9682880833778,0.7632177334127513,1.655722325122078,6.030246920970879,pos,Contadores,2,Profissionais das ciências e intelectuais
2413,1592634.50480179,2061,1.4173156666666666,64.30631181294736,32.805354832968725,1.2661948504022562,1.6221385036816547,4.458802665733863,pos,Analistas financeiros,2,Profissionais das ciências e intelectuais
2634,3290714.5191155,5706,1.4162299999999999,90.94808500976166,5.62512862414372,0.8163851533400136,2.610401212754609,18.89672469067451,pos,Psicólogos,2,Profissionais das ciências e intelectuais
2631,224412.99646006,375,1.403764,72.75664482517108,24.684484005019634,0.9696317903560623,1.589239379453241,6.735322791687668,pos,Economistas,2,Profissionais das ciências e intelectuais
2412,191109.95449829,298,1.390682,64.40919046291134,30.243032449614503,2.7854009174434857,2.5623761700306673,16.63230198535153,pos,Assessores financeiros e em investimentos,2,Profissionais das ciências e intelectuais
3312,370976.07341765,602,1.38556,46.49891822905675,47.903390626507225,2.6607081437481335,2.936983000687899,3.6374871349462783,pos,Agentes de empréstimos e financiamento,3,Técnicos e profissionais de nível médio
3352,264430.93002908997,539,1.36682,71.85410475213413,27.04779443173086,0.22909251894641858,0.8690082971885832,2.95720207270146,pos,Agentes da administração tributária,3,Técnicos e profissionais de nível médio
2421,4006058.17160751,6338,1.3648600000000002,54.63350824925768,42.50133492806805,0.9871624387285536,1.8779943839457198,6.892813731809344,pos,Analistas de gestão e administração,2,Profissionais das ciências e intelectuais
4416,471913.11141591,697,1.353098,59.70535807668228,34.17325509303136,3.102391762523526,3.0189950677628348,5.376720582464891,pos,Trabalhadores do serviço de pessoal,4,Apoio administrativo
2143,231189.33452631,482,1.343561,79.75294051227159,18.408597449247726,0.9143937688985304,0.9240682695821518,5.613240679231457,pos,Engenheiros de meio ambiente,2,Profissionais das ciências e intelectuais
2265,1249116.66406969,2347,1.342809,86.25218898313283,8.075836552342437,1.8827305799144118,3.7892438846103182,11.745552978582705,pos,Dietistas e nutricionistas,2,Profissionais das ciências e intelectuais
2145,265248.38545043,400,1.341336,74.55817794112845,22.527984412396908,1.4167616896211477,1.497075956853495,1.5438131051588486,pos,Engenheiros químicos,2,Profissionais das ciências e intelectuais
2611,8553033.6823807,14718,1.328783,89.33300816565428,7.6804390709313095,0.7335891390020446,2.252963624412367,18.58223552675154,pos,Advogados e juristas,2,Profissionais das ciências e intelectuais
3321,1462150.90197965,2159,1.3280349999999999,69.36030204082705,26.086228771131715,1.4042669721678591,3.149202215873371,11.771648897236725,pos,Agentes de seguros,3,Técnicos e profissionais de nível médio
3324,106537.75472637,222,1.3259693333333333,45.62510308500906,49.13952516945418,0.6343714031864719,4.601000342350289,12.417127372898962,pos,Corretores de comercialização,3,Técnicos e profissionais de nível médio
2351,3017459.81488513,6251,1.301855,79.89568924422812,16.6029041286907,1.08902513876952,2.4123814883116648,5.911998184211905,pos,Especialistas em métodos pedagógicos,2,Profissionais das ciências e intelectuais
1212,1101474.15009239,1801,1.3010249999999999,47.16514076739709,49.78723423916842,0.798871415775275,2.2487535776592087,4.192138420739903,pos,Dirigentes de recursos humanos,1,Diretores e gerentes
4227,164179.7482502,371,1.297031,54.18978621630407,27.878883643711955,6.585738142912832,11.345591997071148,20.24603126577632,pos,Entrevistadores de pesquisas de mercado,4,Apoio administrativo
1222,166426.69877956,223,1.294038,40.77306891995566,55.80678766731071,1.4408823780478845,1.9792610346857482,7.33399900801189,pos,Dirigentes de publicidade e relações públicas,1,Diretores e gerentes
1221,3341579.53521994,4970,1.290656,60.91737574239991,36.403979871907424,0.8955103286111094,1.7831340570815564,5.50203789456509,pos,Dirigentes de vendas e  comercialização,1,Diretores e gerentes
