quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Todos,pos,2,G5,2712335.26231021,5038,2.880486709794236
Todos,pos,2,G6,96353.72044162,262,0.10232717725865437
Todos,pos,2,G7,936822.5916011,1533,0.9949009851545905
Todos,pos,2,G8,352632.63838011,587,0.3744941277754962
Todos,pos,2,G9,386565.21049217,759,0.4105303524841895
Todos,pos,3,Desocupado,999548.27286651,1730,1.5704441009904695
Todos,pos,3,Fora da força de trabalho,2106194.84155166,4222,3.309156100050708
Todos,pos,3,G0,64468.82418993,122,0.10129044028710808
Todos,pos,3,G1,1912060.1986695,3266,3.0041407116114383
Todos,pos,3,G2,4536868.14650745,7713,7.1281177818669725
Todos,pos,3,G3,40577063.16847832,74033,63.75280836182765
Todos,pos,3,G4,4282640.97124881,7633,6.72868778080116
Todos,pos,3,G5,3740702.72841955,6699,5.877219432892749
Todos,pos,3,G6,151922.44911052,375,0.23869353836150758
Todos,pos,3,G7,3102210.76268842,5285,4.874050333078622
Todos,pos,3,G8,1166308.76108884,1991,1.8324504813886915
Todos,pos,3,G9,1007502.195381,1867,1.582940936842923
Todos,pos,4,Desocupado,1308324.42430879,2330,2.2200774281917903
Todos,pos,4,Fora da força de trabalho,2350164.48740028,4660,3.9879612686828874
Todos,pos,4,G0,34884.05495718,74,0.05919426525661089
Todos,pos,4,G1,1442332.99891056,2727,2.4474747052966066
Todos,pos,4,G2,2579647.71945364,4717,4.37736815749743
Todos,pos,4,G3,4221711.80910318,7682,7.163763758879884
Todos,pos,4,G4,39138065.11421266,71886,66.41283563063442
Todos,pos,4,G5,3797987.77459387,6997,6.444752367425149
Todos,pos,4,G6,70858.63810886,191,0.12023903256334997
Todos,pos,4,G7,1049359.58867406,1802,1.780643618346192
Todos,pos,4,G8,961654.39563132,1601,1.6318179021922947
Todos,pos,4,G9,1976486.2348063,3511,3.3538718650333803
Todos,pos,5,Desocupado,3860331.42983832,7248,2.5252549676421734
Todos,pos,5,Fora da força de trabalho,10755988.14855712,24264,7.0360830404610635
Todos,pos,5,G0,123703.02537011,231,0.08092094811178412
Todos,pos,5,G1,2825398.67630349,5357,1.8482485694768012
Todos,pos,5,G2,2822855.52674827,5185,1.846584955570975
Todos,pos,5,G3,3868967.94393337,6796,2.5309045862093935
Todos,pos,5,G4,3903748.27968689,7151,2.5536563154933005
Todos,pos,5,G5,110729929.30737868,214626,72.43453292346868
Todos,pos,5,G6,615042.81357315,1944,0.40233330959183095
Todos,pos,5,G7,4270164.58506641,8135,2.7933493605600233
Todos,pos,5,G8,2120006.50908236,3837,1.386812781698952
Todos,pos,5,G9,6972840.52327915,14491,4.561318241715012
Todos,pos,6,Desocupado,475095.17527277,1457,1.3663460797895621
Todos,pos,6,Fora da força de trabalho,3919168.78110083,16691,11.271301370333392
Todos,pos,6,G0,3212.38078499,17,0.009238620219290554
Todos,pos,6,G1,187108.05190858,607,0.5381118700596557
Todos,pos,6,G2,98961.35057235,280,0.28460708599614526
