dimensao,categoria,pre,pos,n_pre,n_pos,dif_pp
quartil,Q1,30.202111002740523,28.369178842690484,907173,1422302,-1.8329321600500386
quartil,Q2,19.863104235853555,20.72282548236794,907173,1422302,0.8597212465143862
quartil,Q3,25.012310315051543,25.71652459149262,907173,1422302,0.7042142764410784
quartil,Q4,24.922474446354386,25.191471083448945,907173,1422302,0.2689966370945598
grupo_origem,0,0.9530121056745366,0.860828062710642,917015,1436618,-0.0921840429638946
grupo_origem,1,4.1827272191056535,3.566499240091525,917015,1436618,-0.6162279790141283
grupo_origem,2,12.041465907880259,13.465659605650416,917015,1436618,1.424193697770157
grupo_origem,3,8.258624686147463,9.10188676104166,917015,1436618,0.8432620748941968
grupo_origem,4,8.298238899704714,8.427474852109485,917015,1436618,0.12923595240477148
grupo_origem,5,22.334596838413837,21.86097341725832,917015,1436618,-0.4736234211555157
grupo_origem,6,5.820195817951839,4.972445622558765,917015,1436618,-0.8477501953930737
grupo_origem,7,13.34944001456283,12.942970516271963,917015,1436618,-0.40646949829086765
grupo_origem,8,8.58995724925595,9.317162689267043,917015,1436618,0.7272054400110939
grupo_origem,9,16.17174126130292,15.484099233040173,917015,1436618,-0.6876420282627471
